Record ID,Name,City,Name2,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,
PR0055261,SMOKER ZONE,LEWIS CENTER,SMOKER ZONE LEWIS CENTER INC,8927 S OLD STATE RD,1,4,1,1,1,0,15,6,1,
PR0054170,SHEETZ #725,COLUMBUS,OHIO SPRINGS INC,1555 POLARIS PKWY,1,4,2,1,0,1,4,6,0,
PR0050047,AFICIONADO'S,LEWIS CENTER,LC 8909 LIMITED LIABILITY COMPANY,8909 S OLD STATE RD,1,0,0,0,0,0,0,20,1,
PR0049915,SHEETZ #758,COLUMBUS,OHIO SPRINGS INC,920 POLARIS PKWY,1,0,0,0,0,0,0,20,1,
PR0045745,KEYSTONE PUB,COLUMBUS,"TEN EIGHTY ONE, LLC",1081 GEMINI PL,1,3,0,0,0,0,6,1,0,
PR0041223,VAPORFI,COLUMBUS,JSMT LLC,1077 POLARIS PKWY,1,3,1,0,0,0,23,1,1,
PR0040744,DRUG MART #65,LEWIS CENTER,DISCOUNT DRUG MART INC,8951 S OLD STATE RD,1,5,0,0,0,0,19,1,1,
PR0040695,SPEEDWAY 9376,LEWIS CENTER,SPEEDWAY LLC,770 POLARIS PKWY,1,3,0,0,0,0,9,1,0,
PR0040579,BEDS 'N' STUFF SUPERSTORE,LEWIS CENTER,WATERBEDS 'N' STUFF INC,720 POLARIS PKWY,1,4,1,0,0,1,7,1,0,
PR0040425,KROGER FUEL CENTER #839,COLUMBUS,KROGER CO,1177 POLARIS PKWY,1,5,2,1,1,0,25,6,1,
PR0040153,TRUE NORTH STORE #604,COLUMBUS,TRUE NORTH ENERGY LLC,8500 N HIGH ST,1,5,0,0,0,0,23,1,1,
PR0039738,SANCUS CARRYOUT,WESTERVILLE,GIRISH INC,8296 SANCUS BLVD,1,0,0,0,0,0,0,20,1,
PR0039620,KROGER #839,COLUMBUS,KROGER CO,1177 POLARIS PKWY,1,5,1,1,0,0,10,6,0,
PR0039664,UNITED DAIRY FARMERS #653,COLUMBUS,UDF LIMITED PARTNERSHIP II,8480 N HIGH ST,1,1,0,0,0,0,3,10,0,
PR0039685,WALGREENS #13007,COLUMBUS,WALGREEN CO,1040 POLARIS PKWY,1,3,2,0,1,0,6,1,0,
PR0039264,DUCHESS POLARIS FASHION MALL #1633,COLUMBUS,ENGLEFIELD INC,1060 POLARIS PKWY,1,4,0,0,0,0,18,1,1,
PR0039100,CIRCLE K  #4705265,WESTERVILLE,MAC'S CONVENIENCE STORES LLC,8303 SANCUS BLVD,1,3,3,1,1,1,3,6,0,
PR0054136,VAPE STAR,COLUMBUS,VAPESTAR SAWMILL LLC,6634 SAWMILL RD,1,0,0,0,0,0,0,20,1,
PR0054137,SMOKER WORLD,DUBLIN,SMOKER WORLD TUTTLE MALL LLC,5043 TUTTLE CROSSING BLVD STE 164,1,5,2,0,0,0,12,1,0,
PR0053982,GET GO #3529,DUBLIN,GETGO OPERATING LLC,6780 HAYDEN RUN RD,1,0,0,0,0,0,0,20,1,
PR0053651,SHEETZ #862,COLUMBUS,OHIO SPRINGS INC,7480 SAWMILL RD,1,3,1,0,0,0,26,1,1,
PR0053492,BEST BUDZ THREE SMOKE SHOP,COLUMBUS,7424 SAWMILL RD INC,7424 SAWMILL RD,1,5,0,0,0,0,27,1,1,
PR0052229,SMOKE 2 VAPE & TOBACCO,DUBLIN,SMOKE 2 VAPE & TOBACCO LLC,7650 SAWMILL RD,1,2,1,0,0,1,25,5,0,
PR0051926,MARATHON,COLUMBUS,BARSA PETROLEUM LLC,3760 SNOUFFER RD STE A,1,2,0,0,0,0,13,5,0,
PR0051517,ECKELS MARKET,COLUMBUS,BARSA MART LLC,1943 HARD RD,1,0,0,0,0,0,0,20,1,
PR0051085,SMOKE SHOP,HILLIARD,"AL ABO JOUDEYA, INC",6520 HAYDEN RUN RD UNIT 4,1,4,1,1,0,1,6,6,0,
PR0049747,UNITED DAIRY FARMERS #680,DUBLIN,UNITED DAIRY FARMERS INC,5171 RIGGINS RD,1,4,2,0,1,0,2,1,0,
PR0047918,SMOKE SHOP,COLUMBUS,DUBLIN SMOKY ROW INC,1898 HARD RD,1,2,1,1,0,0,18,10,1,
PR0047000,ARABIAN MARKET,COLUMBUS,ARABIAN MARKET LLC,1910 HARD RD,1,4,0,0,0,0,23,1,1,
PR0046120,PJ'S DRIVE THRU,COLUMBUS,OM RETAILING LLC,1973 HARD RD,1,1,0,0,0,0,10,10,0,
