Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
1,14-0 EXPRESS,COLUMBUS,355 E HUDSON ST,8,3,1,0,0,0,23,1,1
2,154 HAGUE FOOD MART,COLUMBUS,154 N HAGUE AVE,10,3,0,0,0,0,26,1,1
3,3 C FOOD MART,COLUMBUS,3725 KARL RD,6,4,0,0,0,0,3,1,0
4,3 C PLUS FOOD MART,COLUMBUS,1790 MORSE RD,4,1,1,1,0,0,17,15,1
5,3C FOOD MART,COLUMBUS,4436 WESTERVILLE RD,3,2,0,0,0,0,7,5,0
6,3-C FOOD MART,DUBLIN,5825 SAWMILL RD,2,1,0,0,0,0,10,10,0
7,4430 REFUGEE RD INC,COLUMBUS,4430 REFUGEE RD,12,0,0,0,0,0,0,20,1
8,5TH AVENUE EXXON,COLUMBUS,693 E 5TH AVE,9,4,3,1,1,0,3,6,0
9,99 CENTS STORE PLUS BEAUTY DISCOUNT,COLUMBUS,1218 S JAMES RD,11,1,0,0,0,0,34,10,1
10,A & A MINI MART,COLUMBUS,445 E 17TH AVE,8,5,1,0,0,0,21,1,1
11,A & B MARKET,COLUMBUS,5440 E LIVINGSTON AVE,11,2,0,0,0,0,15,5,1
12,A & M CARRYOUT,COLUMBUS,2990 E 5TH AVE,11,5,2,0,1,1,26,1,0
13,A AND N MARKET,COLUMBUS,744 E HUDSON ST,6,1,1,1,0,0,7,15,0
14,ABC LIQUOR,COLUMBUS,1571 E DUBLIN GRANVILLE RD,4,4,0,0,0,0,2,1,0
15,AFICIONADO'S,LEWIS CENTER,8909 S OLD STATE RD,1,0,0,0,0,0,0,20,1
16,AGLER FOOD MART,COLUMBUS,2043 AGLER RD,6,1,0,0,0,0,29,10,1
17,AIRPORT DUCHESS #1250,COLUMBUS,4455 E 5TH AVE,11,1,0,0,0,0,6,10,0
18,ALCASTLE INC,COLUMBUS,506 ST CLAIR AVE,13,1,0,0,0,0,21,10,1
19,ALE & ICE,POWELL,8751 SMOKY ROW RD,1,1,0,0,0,0,14,10,1
20,ALEX MARKET,COLUMBUS,2991 SULLIVANT AVE,10,4,2,0,1,0,18,1,1
21,ALFAA MART,COLUMBUS,3200 S HIGH ST,12,1,1,1,0,0,8,15,0
22,ALI GUL MARKET,COLUMBUS,1905 CLEVELAND AVE,9,3,0,0,0,0,27,1,1
23,ALKIRE MARATHON,GALLOWAY,5600 ALKIRE RD,11,1,0,0,0,0,27,10,1
24,ALUM CREEK MARATHON,COLUMBUS,995 ALUM CREEK DR,14,1,1,1,0,0,23,15,1
25,ALUM CREEK SUNOCO,COLUMBUS,1535 ALUM CREEK DR,14,2,0,0,0,0,14,5,1
26,AMBLE MART,COLUMBUS,6188 AMBLESIDE DR,3,4,1,0,0,0,19,1,1
