Facility ID,Name,Site Address,City
1,14-0 EXPRESS,355 E HUDSON ST,COLUMBUS
2,154 HAGUE FOOD MART,154 N HAGUE AVE,COLUMBUS
3,3 C FOOD MART,3725 KARL RD,COLUMBUS
4,3 C PLUS FOOD MART,1790 MORSE RD,COLUMBUS
5,3C FOOD MART,4436 WESTERVILLE RD,COLUMBUS
6,3-C FOOD MART,5825 SAWMILL RD,DUBLIN
7,4430 REFUGEE RD INC,4430 REFUGEE RD,COLUMBUS
8,5TH AVENUE EXXON,693 E 5TH AVE,COLUMBUS
9,99 CENTS STORE PLUS BEAUTY DISCOUNT,1218 S JAMES RD,COLUMBUS
10,A & A MINI MART,445 E 17TH AVE,COLUMBUS
11,A & B MARKET,5440 E LIVINGSTON AVE,COLUMBUS
12,A & M CARRYOUT,2990 E 5TH AVE,COLUMBUS
13,A AND N MARKET,744 E HUDSON ST,COLUMBUS
14,ABC LIQUOR,1571 E DUBLIN GRANVILLE RD,COLUMBUS
15,AFICIONADO'S,8909 S OLD STATE RD,LEWIS CENTER
16,AGLER FOOD MART,2043 AGLER RD,COLUMBUS
17,AIRPORT DUCHESS #1250,4455 E 5TH AVE,COLUMBUS
18,ALCASTLE INC,506 ST CLAIR AVE,COLUMBUS
19,ALE & ICE,8751 SMOKY ROW RD,POWELL
20,ALEX MARKET,2991 SULLIVANT AVE,COLUMBUS
21,ALFAA MART,3200 S HIGH ST,COLUMBUS
22,ALI GUL MARKET,1905 CLEVELAND AVE,COLUMBUS
23,ALKIRE MARATHON,5600 ALKIRE RD,GALLOWAY
24,ALUM CREEK MARATHON,995 ALUM CREEK DR,COLUMBUS
25,ALUM CREEK SUNOCO,1535 ALUM CREEK DR,COLUMBUS
26,AMBLE MART,6188 AMBLESIDE DR,COLUMBUS
27,AMERICAN EAGLE DISCOUNT,1485 SUNBURY RD STE B,COLUMBUS
28,ARABIAN MARKET,1910 HARD RD,COLUMBUS
29,ARENA WINE AND SPIRITS,492 ARMSTRONG ST,COLUMBUS
30,ASWAQ BALADNA,2487 E DUBLIN GRANVILLE RD,COLUMBUS
31,AU MARKET,2281 SULLIVANT AVE,COLUMBUS
32,B & M MARKET 2,2552 LOCKBOURNE RD,COLUMBUS
33,BARLEY BIN OF DUBLIN,5931 KARRIC SQUARE DR,DUBLIN
34,BEDS 'N' STUFF,2194 N HIGH ST,COLUMBUS
35,BEDS 'N' STUFF,2230 MORSE RD,COLUMBUS
36,BEDS 'N' STUFF,5846 COLUMBUS SQ,COLUMBUS
37,BEDS 'N' STUFF SUPERSTORE,3592 SOLDANO BLVD,COLUMBUS
38,BEDS 'N' STUFF SUPERSTORE,720 POLARIS PKWY,LEWIS CENTER
39,BEECHWOOD MARKET,3796 E LIVINGSTON AVE,COLUMBUS
40,BEER 4 LESS,1255 MORSE RD,COLUMBUS
41,BEER DOCK,414 FREBIS AVE,COLUMBUS
42,BEER FRAME CARRYOUT,2676 COURTRIGHT RD,COLUMBUS
43,BEER ZONE,4658 KENNY RD,COLUMBUS
44,BELL STORES #123,7200 SAWMILL RD,COLUMBUS
45,BELVIDERE FAST MART 1ST FLOOR & BASEMENT,126 BELVIDERE AVE,COLUMBUS
46,BERRY SUPPLIES LTD,1889 SULLIVANT AVE,COLUMBUS
47,BEST BUDZ THREE SMOKE SHOP,7424 SAWMILL RD,COLUMBUS
48,BEST MARKET & DRIVE THRU,2844 E 5TH AVE,COLUMBUS
49,BEVERAGE DOCK,2330 HARRISBURG PIKE,GROVE CITY
50,BEVERAGE WAREHOUSE,1848 E MAIN ST,COLUMBUS
51,BEVERAGE WAREHOUSE,847 E 11TH AVE,COLUMBUS
52,BEXLEY LIQUOR AGENCY,2173-77 E LIVINGSTON AVE,COLUMBUS
53,BG'S  CARRYOUT,920 E WEBER RD,COLUMBUS
54,BIG R,3420 BEXVIE AVE # C,COLUMBUS
55,BISTA BROTHERS ASIAN GROCERY,4625 MAIZE RD,COLUMBUS
56,BOULEVARD CARRY OUT,1288-90 W 3RD AVE,COLUMBUS
57,BP,4569 S HIGH ST,COLUMBUS
58,BP OIL,1950 E 17TH AVE,COLUMBUS
59,BREW HOUSE EXPRESS DRIVE THRU,5311 SINCLAIR RD,COLUMBUS
60,BRICE PARK SMOKE SHOP AND CARRYOUT,6351 TUSSING RD,COLUMBUS
61,BRIGGS MART,2774 BRIGGS RD,COLUMBUS
62,BRIGGS STOP MART,3452 BRIGGS RD,COLUMBUS
63,BROAD & HAGUE MARATHON,2805 W BROAD ST,COLUMBUS
64,BROAD AND PRINCETON MARKET,1306 W BROAD ST,COLUMBUS
65,BRONZEVILLE DRIVE THRU,1232 MT VERNON AVE,COLUMBUS
66,BROOKSHIRE FOODLINER,2781 EAKIN RD,COLUMBUS
67,BROTHERS MARKET,1971 DOREN AVE,COLUMBUS
68,BUCKEYE ONE STOP SHOP,2222 SUMMIT ST,COLUMBUS
69,BUCKEYE SUPER MARKET,3201 SULLIVANT AVE,COLUMBUS
70,BUCKEYE WINE & SPIRITS,506-510 ACKERMAN RD,COLUMBUS
71,BUCKS SMOKE SHOP,5051 ROBERTS RD,HILLIARD
72,BULLDOG'S BEER WINE BREW THRU,987 WORTHINGTON WOODS LOOP RD,COLUMBUS
73,BUS TOWN FLOWER COMPANY,893 E MAIN ST,COLUMBUS
74,BUSHMAN MARKETS,1145 PARSONS AVE,COLUMBUS
