facilityID,latitude,longitude
24,39.9474991,-82.9452203
25,39.9398524,-82.9431804
50,39.9575111,-82.9503226
73,39.9579002,-82.9751008
116,39.9629627,-82.98178
177,39.9645005,-82.9782868
213,39.925958,-82.96524
223,39.9234819,-82.9652159
230,39.933238,-82.964426
237,39.9574847,-82.9558619
345,39.9581994,-82.9448635
345,39.9581994,-82.9448635
376,39.9344343,-82.9841164
407,39.938445,-82.964208
411,39.930396,-82.964876
415,39.9575227,-82.9576578
503,39.9581304,-82.9667079
513,39.9340733,-82.964389
637,39.9263709,-82.9650216
772,39.943304,-82.967627
773,39.9622327,-82.9664751
