facilityID,latitude,longitude,visit_order,TSP_total_distance_km
24,39.9474991,-82.9452203,0,17.397741859561563
399,39.9458573,-82.9447888,1,17.397741859561563
319,39.9429161,-82.9551331,2,17.397741859561563
113,39.9340217,-82.9543037,3,17.397741859561563
484,39.9341141,-82.9555928,4,17.397741859561563
230,39.933238,-82.964426,5,17.397741859561563
213,39.925958,-82.96524,6,17.397741859561563
408,39.9428375,-82.9638463,7,17.397741859561563
340,39.949215,-82.96214,8,17.397741859561563
216,39.949892,-82.972657,9,17.397741859561563
347,39.9497142,-83.001981,10,17.397741859561563
294,39.9618786,-82.9816749,11,17.397741859561563
177,39.9645005,-82.9782868,12,17.397741859561563
773,39.9622327,-82.9664751,13,17.397741859561563
219,39.9579384,-82.9703041,14,17.397741859561563
503,39.9581304,-82.9667079,15,17.397741859561563
142,39.9576086,-82.9622071,16,17.397741859561563
415,39.9575227,-82.9576578,17,17.397741859561563
50,39.9575111,-82.9503226,18,17.397741859561563
345,39.9581994,-82.9448635,19,17.397741859561563
