Facility ID,Name,City,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,key,latitude,longitude,visit_order,TSP_total_distance_km
28,ARABIAN MARKET,COLUMBUS,1910 HARD RD,1,4,0,0,0,0,23,1,1,arabian market | 1910 hard rd | columbus,40.1173729,-83.0666671,0,48.55327781
716,UNITED DAIRY FARMERS #622,COLUMBUS,1930 HARD RD,1,3,0,0,0,0,15,1,1,united dairy farmers #622 | 1930 hard rd | columbus,40.117376,-83.067089,1,48.55327781
205,ECKELS MARKET,COLUMBUS,1943 HARD RD,1,0,0,0,0,0,0,20,1,eckels market | 1943 hard rd | columbus,40.116826,-83.0680069,2,48.55327781
47,BEST BUDZ THREE SMOKE SHOP,COLUMBUS,7424 SAWMILL RD,1,5,0,0,0,0,27,1,1,best budz three smoke shop | 7424 sawmill rd | columbus,40.1168103,-83.0903446,3,48.55327781
695,TRUE NORTH STORE #609,COLUMBUS,6790 SAWMILL RD,1,5,1,1,0,0,15,6,1,true north store #609 | 6790 sawmill rd | columbus,40.1049814,-83.090324,4,48.55327781
742,VAPE STAR,COLUMBUS,6634 SAWMILL RD,1,0,0,0,0,0,0,20,1,vape star | 6634 sawmill rd | columbus,40.1025786,-83.0895605,5,48.55327781
687,TOP NOTCH VAPOR,COLUMBUS,3496 W DUBLIN - GRANVILLE RD,1,4,0,0,0,0,19,1,1,top notch vapor | 3496 w dublin - granville rd | columbus,40.0933513,-83.0827293,6,48.55327781
717,UNITED DAIRY FARMERS #624,DUBLIN,5025 TUTTLE CROSSING BLVD,1,3,0,0,0,0,18,1,1,united dairy farmers #624 | 5025 tuttle crossing blvd | dublin,40.0759329,-83.1286312,7,48.55327781
191,DUCHESS TUTTLE CROSSING #1625,DUBLIN,5099 TUTTLE CROSSING BLV,1,3,0,0,0,0,28,1,1,duchess tuttle crossing #1625 | 5099 tuttle crossing blv | dublin,40.07616294,-83.13160835,8,48.55327781
270,GIANT EAGLE #6529,HILLIARD,6700 HAYDEN RUN RD,1,1,0,0,0,0,25,10,1,giant eagle #6529 | 6700 hayden run rd | hilliard,40.0612545,-83.1798657,9,48.55327781
691,TRUE NORTH STORE #604,COLUMBUS,8500 N HIGH ST,1,5,0,0,0,0,23,1,1,true north store #604 | 8500 n high st | columbus,40.0346542,-83.0166726,10,48.55327781
372,KROGER FUEL CENTER #839,COLUMBUS,1177 POLARIS PKWY,1,5,2,1,1,0,25,6,1,kroger fuel center #839 | 1177 polaris pkwy | columbus,40.14106,-82.98897,11,48.55327781
746,VAPORFI,COLUMBUS,1077 POLARIS PKWY,1,3,1,0,0,0,23,1,1,vaporfi | 1077 polaris pkwy | columbus,40.1450816,-82.991162,12,48.55327781
183,DUCHESS POLARIS FASHION MALL #1633,COLUMBUS,1060 POLARIS PKWY,1,4,0,0,0,0,18,1,1,duchess polaris fashion mall #1633 | 1060 polaris pkwy | columbus,40.1462627,-82.9913535,13,48.55327781
552,SHEETZ #758,COLUMBUS,920 POLARIS PKWY,1,0,0,0,0,0,0,20,1,sheetz #758 | 920 polaris pkwy | columbus,40.1489473,-82.99389,14,48.55327781
171,DRUG MART #65,LEWIS CENTER,8951 S OLD STATE RD,1,5,0,0,0,0,19,1,1,drug mart #65 | 8951 s old state rd | lewis center,40.1515741,-82.9960289,15,48.55327781
143,DOLLAR GENERAL #17280,COLUMBUS,1862 HARD RD,1,2,0,0,0,0,26,5,1,dollar general #17280 | 1862 hard rd | columbus,40.1177204,-83.0657735,16,48.55327781
577,SMOKE SHOP,COLUMBUS,1898 HARD RD,1,2,1,1,0,0,18,10,1,smoke shop | 1898 hard rd | columbus,40.117371,-83.0664139,17,48.55327781
