Facility ID,Name,site_address,city,latitude,longitude
2,154 HAGUE FOOD MART,154 N HAGUE AVE,COLUMBUS,39.9582379,-83.074809
10,A & A MINI MART,445 E 17TH AVE,COLUMBUS,40.001114,-82.996036
46,BERRY SUPPLIES LTD,1889 SULLIVANT AVE,COLUMBUS,39.9479919,-83.0491731
50,BEVERAGE WAREHOUSE,1848 E MAIN ST,COLUMBUS,39.9575372,-82.9503552
65,BRONZEVILLE DRIVE THRU,1232 MT VERNON AVE,COLUMBUS,39.972892,-82.969561
68,BUCKEYE ONE STOP SHOP,2222 SUMMIT ST,COLUMBUS,40.0087093,-83.0004495
69,BUCKEYE SUPER MARKET,3201 SULLIVANT AVE,COLUMBUS,39.943092,-83.084077
73,BUS TOWN FLOWER COMPANY,893 E MAIN ST,COLUMBUS,39.9580662,-82.9763582
75,BUSTOWN FLOWER CO,1747 PARSONS AVE,COLUMBUS,39.927676,-82.984321
77,CANNA CABANA 614,2737 SULLIVANT AVE,COLUMBUS,39.943831,-83.0713416
78,CARTEL PALACE,1127 N HIGH ST,COLUMBUS,39.9853796,-83.0054011
122,DAHAB RESTAURANT AND CAFE,3708 FISHINGER BLVD,HILLIARD,40.0296099,-83.1144656
127,DASHMART,1530 GERRARD AVE,COLUMBUS,39.9904704,-83.0328902
144,DOLLAR GENERAL #30929,3355 E LIVINGSTON AVE,COLUMBUS,39.9458464,-82.906808
147,DOLLAR GENERAL #6024,1162 HARRISBURG PIKE,COLUMBUS,39.9322325,-83.0479441
168,DREAM EXCLUSIVE,2102 CLEVELAND AVE,COLUMBUS,40.009585,-82.969778
172,DT EXPRESS,1131 E HUDSON ST,COLUMBUS,40.0141229,-82.9798246
207,EMPORIUM SMOKE SHOP,2016 SULLIVANT AVE,COLUMBUS,39.9474748,-83.0528599
210,EXOTIC PUFF N STUFF,1496 BETHEL RD,COLUMBUS,40.063872,-83.0591466
245,FIVE BROTHERS MARKET,1230 E LONG ST,COLUMBUS,39.968752,-82.968555
246,FM MARKET,2007 CLEVELAND AVE,COLUMBUS,40.0074912,-82.9712984
250,FRANTZ ROAD MARKET,5744 FRANTZ RD,DUBLIN,40.0830424,-83.1221654
280,GRANDVIEW BOTTLE SHOP,1761 W 5TH AVE,COLUMBUS,39.9891153,-83.0536226
283,GRANNYS MARKET,2211 W BROAD ST,COLUMBUS,39.9555546,-83.0594826
314,HYDES MARKET,1414 MORSE RD,COLUMBUS,40.0611343,-82.9811877
321,J KHAN DRIVE THRU,1436 S HAMILTON RD,COLUMBUS,40.0653887,-82.8630117
323,JAYA & JASMINE LLC,1326 OAKLAND PARK AVE,COLUMBUS,40.0322875,-82.9778446
333,K & K MART LLC,620 HARRISBURG PIKE,COLUMBUS,39.9452902,-83.0359862
341,KING LINCOLN DRIVE THRU,1232 MT VERNON AVE,COLUMBUS,39.972892,-82.969561
342,KINGS LOUNGE,3070 N HIGH ST,COLUMBUS,40.024184,-83.013808
429,MAYA CAFE & HOOKAH,2367-69 N HIGH ST,COLUMBUS,39.9717389,-83.0027423
430,MAZAJ HOOKAH LOUNGE,4223 ROBERTS RD,COLUMBUS,40.0018889,-83.110406
432,MEADOWS CARRY OUT,5900 N MEADOWS BLVD,COLUMBUS,40.0862202,-82.992252
445,MIRACLE TRADING COMPANY,1915 TAMARACK CIR N,COLUMBUS,40.0772525,-82.9661174
449,MOBIL MART,2727 CLEVELAND AVE,COLUMBUS,40.0231163,-82.965232
460,NA SMOKE SHOP,5597 N HAMILTON RD,COLUMBUS,40.070443,-82.862733
462,NATURAL NECESSITIES,3130 E LIVINGSTON AVE,COLUMBUS,39.9468567,-82.9136254
481,NV BAR & LOUNGE,797 ST CLAIR AVE,COLUMBUS,39.9808815,-82.9802614
487,PAK SMOKE,6116 BOARDWALK ST,COLUMBUS,40.0911167,-82.9916548
493,PARSONS MARATHON,959 PARSONS AVE,COLUMBUS,39.9439406,-82.9834062
501,PLANET 7 SMOKE SHOP,1721 S HIGH ST,COLUMBUS,39.9266279,-82.9957171
502,PLANET PUFF,2530 SULLIVANT AVE,COLUMBUS,39.9448913,-83.0666255
503,PLANET PUFF,383 WILSON AVE,COLUMBUS,39.9581629,-82.9667384
506,POWER FLOWER,958 W BROAD ST,COLUMBUS,39.9591879,-83.0261923
507,PUFF AVE,4382 INDIANOLA AVE,COLUMBUS,40.05429,-83.000208
509,PUFF PALACE,5562 N HIGH ST,COLUMBUS,39.9753546,-83.0031855
513,QUICK AND COLD DRIVE THRU,1550 LOCKBOURNE RD,COLUMBUS,39.9340565,-82.964359
514,QUICK CARRYOUT,2934 S HIGH ST,COLUMBUS,39.9018042,-82.9952284
518,RIDERS HUT,3322 W BROAD ST,COLUMBUS,39.9543148,-83.0888475
549,SHEETZ #725,1555 POLARIS PKWY,COLUMBUS,40.1414748,-82.9823604
555,SHEETZ #849 - WALCUTT,4881 ROBERTS RD,COLUMBUS,40.00285,-83.1386067
556,SHEETZ #862,7480 SAWMILL RD,COLUMBUS,40.1182827,-83.0902721
557,SHEETZ #882,5757 W BROAD ST,COLUMBUS,39.950954,-83.1560322
564,SIRENS,6190 CLEVELAND AVE,COLUMBUS,40.0994842,-82.9494273
567,SMOKE 2 VAPE & TOBACCO,7650 SAWMILL RD,DUBLIN,40.1061976,-83.0911933
569,SMOKE HOUSE PLUS,4950 N HIGH ST,COLUMBUS,40.0636746,-83.0193277
570,SMOKE HUB,1119 WORTHINGTON WOODS BLVD,WORTHINGTON,40.1220476,-82.9784896
586,SMOKER ZONE,970 GALLOWAY RD,GALLOWAY,39.9122647,-83.1627482
588,SMVC STORE,855 S WEYANT AVE,COLUMBUS,39.9542146,-82.9086963
