Facility Name,site_address,city,latitude,longitude
1263 RPBP,1263 E DUBLIN GRANVILLE RD,COLUMBUS,40.0869729,-82.9842619
14-0 EXPRESS,355 E HUDSON ST,COLUMBUS,40.015106,-83.0018083
14-0 EXPRESS CARRYOUT,1481 N HIGH ST,COLUMBUS,39.9926537,-83.0067119
3 C FOOD MART,3725 KARL RD,COLUMBUS,40.0427197,-82.9777907
3 C PLUS FOOD MART,1790 MORSE RD,COLUMBUS,40.061852,-82.9712347
3C FOOD MART,4436 WESTERVILLE RD,COLUMBUS,40.062343,-82.934715
3-C FOOD MART,5825 SAWMILL RD,DUBLIN,40.1061976,-83.0911933
4430 REFUGEE RD INC,4430 REFUGEE RD,COLUMBUS,39.915509,-82.8786264
4TH STREET PATIO,1810-12 N 4TH ST,COLUMBUS,40.006928,-82.9982658
5TH AVENUE EXXON,693 E 5TH AVE,COLUMBUS,39.9862578,-82.9863159
99 CENTS STORE PLUS BEAUTY DISCOUNT,1218 S JAMES RD,COLUMBUS,39.9457151,-82.9151928
A & B MARKET,5440 E LIVINGSTON AVE,COLUMBUS,39.9432547,-82.8493847
A & M CAFE,2990 E 5TH AVE,COLUMBUS,39.9849404,-82.9241421
A & M GROCERY,1065 E LIVINGSTON AVE,COLUMBUS,39.949565,-82.9694035
A AND N MARKET,744 E HUDSON ST,COLUMBUS,40.0147733,-82.9906231
A1 GROCERY,2538 MORSE RD,COLUMBUS,40.0593785,-82.9516664
ABC LIQUOR,1571 E DUBLIN GRANVILLE RD,COLUMBUS,40.0867125,-82.9766981
AC SMOKE SHOP,3984 ALUM CREEK DR,COLUMBUS,39.8865116,-82.9303228
ADAM MARKET,2009 CLEVELAND AVE,COLUMBUS,40.0075306,-82.9712742
ADVANCED VAPOR,6851 E BROAD ST,WHITEHALL,39.9760889,-82.8746571
AGLER FOOD MART,2043 AGLER RD,COLUMBUS,40.0270258,-82.9572721
AIRPORT DUCHESS #1250,4455 E 5TH AVE,COLUMBUS,39.9867342,-82.8855495
ALCASTLE INC,506 ST CLAIR AVE,COLUMBUS,39.975156,-82.980474
ALEX MARKET,2991 SULLIVANT AVE,COLUMBUS,39.9433646,-83.0784721
ALI GUL MARKET,1905 CLEVELAND AVE,COLUMBUS,40.0051575,-82.9727266
ALKIRE MARATHON,5600 ALKIRE RD,GALLOWAY,39.9113665,-83.1456569
ALTSMOKE,2460 N HIGH ST,COLUMBUS,40.0125353,-83.010723
ALUM CREEK MARATHON,995 ALUM CREEK DR,COLUMBUS,39.9474991,-82.9452203
ALUM CREEK SUNOCO,1535 ALUM CREEK DR,COLUMBUS,39.9398524,-82.9431804
AMBLE MART,6188 AMBLESIDE DR,COLUMBUS,40.093266,-82.980291
ARABIAN MARKET,1910 HARD RD,COLUMBUS,40.1173729,-83.0666671
ARENA WINE AND SPIRITS,492 ARMSTRONG ST,COLUMBUS,39.9720401,-83.0056916
ASWAQ BALADNA,2487 E DUBLIN GRANVILLE RD,COLUMBUS,40.0850519,-82.9516893
AU MARKET,2281 SULLIVANT AVE,COLUMBUS,39.9460371,-83.0595925
B & M MARKET 2,2552 LOCKBOURNE RD,COLUMBUS,39.9129515,-82.9660694
BANGKOK GROCERY & RESTAURANT,3281 REFUGEE RD,COLUMBUS,39.917165,-82.9116012
BARCLAY PIPE TOBACCO & CIGAR,2673 FEDERATED BLVD,COLUMBUS,40.1013519,-83.0890358
BEDS 'N' STUFF,2194 N HIGH ST,COLUMBUS,40.0070453,-83.0092866
BEDS 'N' STUFF,2230 MORSE RD,COLUMBUS,40.0609138,-82.9593673
BEDS 'N' STUFF,5846 COLUMBUS SQ,COLUMBUS,40.0887719,-82.9495076
BEDS 'N' STUFF SUPERSTORE,3592 SOLDANO BLVD,COLUMBUS,39.9566052,-83.0951965
BEECHCROFT NEWSSTAND,1935 E DUBLIN GRANVILLE RD,COLUMBUS,40.0862737,-82.9661913
BEECHWOOD MARKET,3796 E LIVINGSTON AVE,COLUMBUS,39.9458372,-82.8946794
BEER 4 LESS,1255 MORSE RD,COLUMBUS,40.0597752,-82.9859637
BEER DOCK,414 FREBIS AVE,COLUMBUS,39.9357998,-82.9848687
BEER FRAME CARRYOUT,2676 COURTRIGHT RD,COLUMBUS,39.9175786,-82.8963579
BEER ZONE,4658 KENNY RD,COLUMBUS,40.0596651,-83.0480253
BELL STORES #123,7200 SAWMILL RD,COLUMBUS,40.1114627,-83.0906744
BELVIDERE FAST MART 1ST FLOOR & BASEMENT,126 BELVIDERE AVE,COLUMBUS,39.9530743,-83.0549605
BERKELEY MARKET,1615 E MAIN ST,COLUMBUS,39.9574847,-82.9558619
BEST BUDZ THREE SMOKE SHOP,7424 SAWMILL RD,COLUMBUS,40.1168103,-83.0903446
BEST MARKET & DRIVE THRU,2844 E 5TH AVE,COLUMBUS,39.9850555,-82.9276426
BEVERAGE DOCK,2330 HARRISBURG PIKE,GROVE CITY,39.8808838,-83.0947299
BEVERAGE WAREHOUSE,1848 E MAIN ST,COLUMBUS,39.9575111,-82.9503226
BEVERAGE WAREHOUSE,847 E 11TH AVE,COLUMBUS,39.9936987,-82.9838233
BEXLEY LIQUOR AGENCY,2173-77 E LIVINGSTON AVE,COLUMBUS,39.95274396,-82.99683734
BG'S  CARRYOUT,920 E WEBER RD,COLUMBUS,40.0239308,-82.9875425
BIG R,3420 BEXVIE AVE # C,COLUMBUS,39.93569328,-82.91010187
BISTA BROTHERS ASIAN GROCERY,4625 MAIZE RD,COLUMBUS,40.0599675,-82.987977
BLUE WHALE MKT,4431 CLEVELAND AVE,COLUMBUS,40.0602296,-82.9534281
BOULEVARD CARRY OUT,90 W 3RD AVE,COLUMBUS,39.98414009,-83.00741094
BP,660 NEIL AVE,COLUMBUS,39.974863,-83.0101585
BP OIL,1950 E 17TH AVE,COLUMBUS,39.9994239,-82.9563212
BREW HOUSE EXPRESS DRIVE THRU,5311 SINCLAIR RD,COLUMBUS,40.0740287,-82.9980867
BRICE PARK SMOKE SHOP AND CARRYOUT,6351 TUSSING RD,COLUMBUS,39.9258892,-82.8019122
BRIGGS MART,2774 BRIGGS RD,COLUMBUS,39.9300939,-83.0711772
BRIGGS STOP MART,3452 BRIGGS RD,COLUMBUS,39.9334587,-83.0889883
BROAD & HAGUE MARATHON,2805 W BROAD ST,COLUMBUS,39.954824,-83.074992
BROAD AND PRINCETON MARKET,1306 W BROAD ST,COLUMBUS,39.9580955,-83.0352626
BROOKSHIRE IGA,2781 EAKIN RD,COLUMBUS,39.9381866,-83.0721435
BROTHERS MARKET,1971 DOREN AVE,COLUMBUS,39.9512519,-83.0530304
BUCKEYE WINE & SPIRITS,506-510 ACKERMAN RD,COLUMBUS,40.0183686,-83.0303464
BUCKS SMOKE SHOP,5051 ROBERTS RD,HILLIARD,40.0031484,-83.177343
BULLDOG'S BEER WINE BREW THRU,987 WORTHINGTON WOODS LOOP RD,COLUMBUS,40.1185915,-82.9895827
BUS TOWN FLOWER COMPANY,893 E MAIN ST,COLUMBUS,39.9579002,-82.9751008
BUSCH CENTER SMOKE AND MORE,6112 BOARDWALK ST,COLUMBUS,40.0911125,-82.9916551
BUSHMAN MARKET,1145 PARSONS AVE,COLUMBUS,39.9402205,-82.9836941
CANAL WINCHESTER SHELL,3480 GENDER RD,COLUMBUS,39.9114326,-82.8240267
CASABLANCA CAFE AND HOOKAH BAR,19-21 E DUNCAN ST,COLUMBUS,40.0160505,-83.0086254
CASSADY MARKET,2466 N CASSADY AVE,COLUMBUS,40.0220625,-82.9285183
CBD OILS AND MORE,5480 ROBERTS RD,HILLIARD,40.0043133,-83.1548127
CENTRAL OHIO VAPE,35 E 5TH AVE,COLUMBUS,39.9869867,-83.004405
CENTRAL POINT LIQUOR,689 HARRISBURG PIKE,COLUMBUS,39.9438943,-83.0373001
CERTIFIED #038,1270 HARMON AVE,COLUMBUS,39.934769,-83.013861
CERTIFIED GAS STATION #004,74 W MOUND ST,COLUMBUS,39.9547595,-83.0013789
CERTIFIED OIL #219,1081 FRANK RD,COLUMBUS,39.9173971,-83.0115834
CERTIFIED OIL #235,1950 LOCKBOURNE RD,COLUMBUS,39.925477,-82.9650632
CERTIFIED OIL #354,2483 PARSONS AVE,COLUMBUS,39.9111096,-82.9855441
CERTIFIED OIL #388,3204 W BROAD ST,COLUMBUS,39.9544583,-83.0860173
CERTIFIED OIL #434,980 DEMOREST RD,COLUMBUS,39.9341674,-83.0898985
CERTIFIED OIL #485,4580 ALKIRE RD,GALLOWAY,39.9115066,-83.1539233
CERTIFIED OIL #488,1401 BETHEL RD,COLUMBUS,40.0632899,-83.0565098
CERTIFIED OIL #489,856-858 FRANK RD,COLUMBUS,39.9173971,-83.0115834
CERTIFIED OIL *490,2025 IKEA WY,COLUMBUS,40.1483476,-82.9620755
CERTIFIED OIL CORPORATION #491,5991 S HIGH ST,COLUMBUS,39.8505164,-83.0024372
