Facility Name,site_address,city,latitude,longitude
3 C FOOD MART,3725 KARL RD,COLUMBUS,40.0427197,-82.9777907
3 C PLUS FOOD MART,1790 MORSE RD,COLUMBUS,40.061852,-82.9712347
3-C FOOD MART,5825 SAWMILL RD,DUBLIN,40.1061976,-83.0911933
3C FOOD MART,4436 WESTERVILLE RD,COLUMBUS,40.062343,-82.934715
99 CENTS STORE PLUS BEAUTY DISCOUNT,1218 S JAMES RD,COLUMBUS,39.9457151,-82.9151928
1263 RPBP,1263 E DUBLIN GRANVILLE RD,COLUMBUS,40.0869729,-82.9842619
4430 REFUGEE RD INC,4430 REFUGEE RD,COLUMBUS,39.915509,-82.8786264
A & B MARKET,5440 E LIVINGSTON AVE,COLUMBUS,39.9432547,-82.8493847
A1 GROCERY,2538 MORSE RD,COLUMBUS,40.0593785,-82.9516664
AC SMOKE SHOP,3984 ALUM CREEK DR,COLUMBUS,39.8865116,-82.9303228
ADAM MARKET,2009 CLEVELAND AVE,COLUMBUS,40.0075306,-82.9712742
ADVANCED VAPOR,6851 E BROAD ST,WHITEHALL,39.9760889,-82.8746571
AIRPORT DUCHESS #1250,4455 E 5TH AVE,COLUMBUS,39.9867342,-82.8855495
ALCASTLE INC,506 ST CLAIR AVE,COLUMBUS,39.975156,-82.980474
ALEX MARKET,2991 SULLIVANT AVE,COLUMBUS,39.9433646,-83.0784721
ALKIRE MARATHON,5600 ALKIRE RD,GALLOWAY,39.9113665,-83.1456569
ALUM CREEK MARATHON,995 ALUM CREEK DR,COLUMBUS,39.9474991,-82.9452203
ALUM CREEK SUNOCO,1535 ALUM CREEK DR,COLUMBUS,39.9398524,-82.9431804
AMBLE MART,6188 AMBLESIDE DR,COLUMBUS,40.093266,-82.980291
ARABIAN MARKET,1910 HARD RD,COLUMBUS,40.1173729,-83.0666671
ASWAQ BALADNA,2487 E DUBLIN GRANVILLE RD,COLUMBUS,40.0850519,-82.9516893
AU MARKET,2281 SULLIVANT AVE,COLUMBUS,39.9460371,-83.0595925
B & M MARKET 2,2552 LOCKBOURNE RD,COLUMBUS,39.9129515,-82.9660694
BANGKOK GROCERY & RESTAURANT,3281 REFUGEE RD,COLUMBUS,39.917165,-82.9116012
BARCLAY PIPE TOBACCO & CIGAR,2673 FEDERATED BLVD,COLUMBUS,40.1013519,-83.0890358
BEDS 'N' STUFF,2194 N HIGH ST,COLUMBUS,40.0070453,-83.0092866
BEDS 'N' STUFF,2230 MORSE RD,COLUMBUS,40.0609138,-82.9593673
BEDS 'N' STUFF,5846 COLUMBUS SQ,COLUMBUS,40.0887719,-82.9495076
BEER 4 LESS,1255 MORSE RD,COLUMBUS,40.0597752,-82.9859637
BEER FRAME CARRYOUT,2676 COURTRIGHT RD,COLUMBUS,39.9175786,-82.8963579
BELVIDERE FAST MART 1ST FLOOR & BASEMENT,126 BELVIDERE AVE,COLUMBUS,39.9530743,-83.0549605
BEST BUDZ THREE SMOKE SHOP,7424 SAWMILL RD,COLUMBUS,40.1168103,-83.0903446
BEST MARKET & DRIVE THRU,2844 E 5TH AVE,COLUMBUS,39.9850555,-82.9276426
BEVERAGE DOCK,2330 HARRISBURG PIKE,GROVE CITY,39.8808838,-83.0947299
BISTA BROTHERS ASIAN GROCERY,4625 MAIZE RD,COLUMBUS,40.0599675,-82.987977
BP,660 NEIL AVE,COLUMBUS,39.974863,-83.0101585
BRICE PARK SMOKE SHOP AND CARRYOUT,6351 TUSSING RD,COLUMBUS,39.9258892,-82.8019122
BRIGGS MART,2774 BRIGGS RD,COLUMBUS,39.9300939,-83.0711772
BROOKSHIRE IGA,2781 EAKIN RD,COLUMBUS,39.9381866,-83.0721435
BROTHERS MARKET,1971 DOREN AVE,COLUMBUS,39.9512519,-83.0530304
BUCKEYE WINE & SPIRITS,506-510 ACKERMAN RD,COLUMBUS,40.0183686,-83.0303464
BUCKS SMOKE SHOP,5051 ROBERTS RD,HILLIARD,40.0031484,-83.177343
BULLDOG'S BEER WINE BREW THRU,987 WORTHINGTON WOODS LOOP RD,COLUMBUS,40.1185915,-82.9895827
BUSHMAN MARKET,1145 PARSONS AVE,COLUMBUS,39.9402205,-82.9836941
CASSADY MARKET,2466 N CASSADY AVE,COLUMBUS,40.0220625,-82.9285183
CENTRAL POINT LIQUOR,689 HARRISBURG PIKE,COLUMBUS,39.9438943,-83.0373001
CERTIFIED #038,1270 HARMON AVE,COLUMBUS,39.934769,-83.013861
CERTIFIED GAS STATION #004,74 W MOUND ST,COLUMBUS,39.9547594,-83.0013789
CERTIFIED OIL *490,2025 IKEA WY,COLUMBUS,40.1483476,-82.9620755
CERTIFIED OIL #434,980 DEMOREST RD,COLUMBUS,39.9341674,-83.0898985
CERTIFIED OIL #489,856-858 FRANK RD,COLUMBUS,39.9173971,-83.0115834
CHAMPS MARKET,219 W 8TH AVE,COLUMBUS,39.9919667,-83.0125578
CHUCHAY'S SUPEERMARKET,6867 FLAGS CENTER DR,COLUMBUS,40.1097385,-82.9514371
CHUCK'S CARRY OUT,3140 ALLEGHENY AVE,COLUMBUS,39.980716,-82.918455
CIRCLE A,4432 WALFORD ST,COLUMBUS,40.0588311,-82.9614641
CIRCLE DRIVE THRU,1848 TAMARACK CIR S,COLUMBUS,40.076363,-82.9678372
CIRCLE K  #4705265,8303 SANCUS BLVD,WESTERVILLE,40.1354317,-82.9922056
CIRCLE K  #4705267,1573 SCHROCK RD,COLUMBUS,40.105187,-82.97441
CIRCLE K #4705269,3749 TWIN CREEKS DR,COLUMBUS,39.9791161,-83.1033763
CIRCLE K #4705686,2481 PETZINGER RD,COLUMBUS,39.927475,-82.9271769
CIRCLE K #4705698,1574 KENNY RD,COLUMBUS,39.9907298,-83.0352168
CIRCLE MART,1876 TAMARACK CIR S,COLUMBUS,40.0759021,-82.96785
CIRCLE SMOKE SHOP,1852 TAMARACK CIR S,COLUMBUS,40.0760676,-82.9679578
CIRCLE V FOOD,2124 W MOUND ST,COLUMBUS,39.940792,-83.054555
CLUB 185,185 E LIVINGSTON AVE,COLUMBUS,39.9525046,-82.9935859
COLUMBUS SMOKE SHOP,2516 BETHEL RD,COLUMBUS,40.0648034,-83.0871012
COME AND GO CENTER,884 OAKLAND PARK AVE,COLUMBUS,40.0326625,-82.9905247
CONVENIENT PLUS FOOD MART,1541 FREBIS AVE,COLUMBUS,39.9340217,-82.9543037
CONVENIENT PLUS FOOD MART,5435 E LIVINGSTON AVE,COLUMBUS,39.943108,-82.8497184
COOKS,1225 OAKLAND PARK AVE,COLUMBUS,40.0318118,-82.9808361
CORNER STONE CRAFT BEER & WINE,61 PARSONS AVE,COLUMBUS,39.9629627,-82.98178
CULEBRA CIGARS COMPANY,1786 W 5TH AVE,COLUMBUS,39.9893105,-83.0543845
DAIRY LAND EXPRESS,2555 PETZINGER RD,COLUMBUS,39.929791,-82.925437
DAIRY MART #5460,4251 KIMBERLY PKWY,COLUMBUS,39.9259249,-82.8825096
DAIRY MART #5464,4242 MORSE RD,COLUMBUS,40.057529,-82.8982823
DARBY SUNOCO,4537 SCIOTO DARBY RD,HILLIARD,40.0179945,-83.1370154
DE STORE,5273 GENDER RD,CANAL WINCHESTER,39.8591131,-82.8278852
DEMOREST BEER DOCK,1232 DEMOREST RD,COLUMBUS,39.9298147,-83.0901791
DEMOREST MARKET,1425 DEMOREST RD,COLUMBUS,39.9212818,-83.0938341
